doi,wos_id,year,journal,authors,title_wos
10.1086/669341,WOS000314099700015,2013,JCR,ADAVAL R,NUMEROSITY AND CONSUMER BEHAVIOR
10.1086/669476,WOS000321701800002,2013,JCR,CHAE BG;HOEGG JA,THE FUTURE LOOKS ``RIGHT'': EFFECTS OF THE HORIZONTAL LOCATION OF ADVERTISING IMAGES ON PRODUCT ATTITUDE
10.1086/669483,WOS000321701800001,2013,JCR,COLEMAN NV;WILLIAMS P,FEELING LIKE MY SELF: EMOTION PROFILES AND SOCIAL IDENTITY
10.1086/669484,WOS000319055700011,2013,JCR,HSEE CK;ZHANG J;WANG L;ZHANG S,"MAGNITUDE, TIME, AND RISK DIFFER SIMILARLY BETWEEN JOINT AND SINGLE EVALUATIONS"
10.1086/669562,WOS000321701800003,2013,JCR,NORTON DA;LAMBERTON CP;NAYLOR RW,THE DEVIL YOU (DON'T) KNOW: INTERPERSONAL AMBIGUITY AND INFERENCE MAKING IN COMPETITIVE CONTEXTS
10.1086/670020,WOS000321701800006,2013,JCR,IRMAK C;WAKSLAK CJ;TROPE Y,"SELLING THE FOREST, BUYING THE TREES: THE EFFECT OF CONSTRUAL LEVEL ON SELLER-BUYER PRICE DISCREPANCY"
10.1086/670034,WOS000321701800004,2013,JCR,LALWANI AK;SHAVITT S,YOU GET WHAT YOU PAY FOR? SELF-CONSTRUAL INFLUENCES PRICE-QUALITY JUDGMENTS
10.1086/670238,WOS000321701800007,2013,JCR,MOISIO R;ARNOULD EJ;GENTRY JW,PRODUCTIVE CONSUMPTION IN THE CLASS-MEDIATED CONSTRUCTION OF DOMESTIC MASCULINITY: DO-IT-YOURSELF (DIY) HOME IMPROVEMENT IN MEN'S IDENTITY WORK
10.1086/670252,WOS000321701800005,2013,JCR,GU Y;BOTTI S;FARO D,TURNING THE PAGE: THE IMPACT OF CHOICE CLOSURE ON SATISFACTION
10.1086/670392,WOS000321701800009,2013,JCR,ZHU RJ;ARGO JJ,EXPLORING THE IMPACT OF VARIOUS SHAPED SEATING ARRANGEMENTS ON PERSUASION
10.1086/670393,WOS000321701800008,2013,JCR,CHAE BG;LI X;ZHU RJ,JUDGING PRODUCT EFFECTIVENESS FROM PERCEIVED SPATIAL PROXIMITY
10.1086/670394,WOS000321701800011,2013,JCR,WEIJTERS B;GEUENS M;BAUMGARTNER H,THE EFFECT OF FAMILIARITY WITH THE RESPONSE CATEGORY LABELS ON ITEM RESPONSE TO LIKERT SCALES
10.1086/670609,WOS000321701800012,2013,JCR,LEE CJ;ANDRADE EB;PALMER SE,INTERPERSONAL RELATIONSHIPS AND PREFERENCES FOR MOOD-CONGRUENCY IN AESTHETIC EXPERIENCES
10.1086/670610,WOS000321701800010,2013,JCR,KIDWELL B;FARMER A;HARDESTY DM,GETTING LIBERALS AND CONSERVATIVES TO GO GREEN: POLITICAL IDEOLOGY AND CONGRUENT APPEALS
10.1086/670762,WOS000331701600003,2013,JCR,HAMERMAN EJ;JOHAR GV,CONDITIONED SUPERSTITION: DESIRE FOR CONTROL AND CONSUMER BRAND PREFERENCES
10.1086/670765,WOS000331701600002,2013,JCR,JIANG L;HOEGG JA;DAHL DW,CONSUMER REACTION TO UNEARNED PREFERENTIAL TREATMENT
10.1086/670766,WOS000331701600004,2013,JCR,SCOTT ML;NOWLIS SM,THE EFFECT OF GOAL SPECIFICITY ON CONSUMER GOAL REENGAGEMENT
10.1086/671052,WOS000331701600006,2013,JCR,BELK RW,EXTENDED SELF IN A DIGITAL WORLD
10.1086/671053,WOS000331701600007,2013,JCR,BHARGAVE R;MONTGOMERY NV,THE SOCIAL CONTEXT OF TEMPORAL SEQUENCES: WHY FIRST IMPRESSIONS SHAPE SHARED EXPERIENCES
10.1086/671103,WOS000331701600001,2013,JCR,LAMBERTON CP;DIEHL K,RETAIL CHOICE ARCHITECTURE: THE EFFECTS OF BENEFIT- AND ATTRIBUTE-BASED ASSORTMENT ORGANIZATION ON CONSUMER PERCEPTIONS AND CHOICE
10.1086/671139,WOS000331701600009,2013,JCR,MOURALI M;YANG Z,THE DUAL ROLE OF POWER IN RESISTING SOCIAL INFLUENCE
10.1086/671343,WOS000331701600010,2013,JCR,MOCHON D,SINGLE-OPTION AVERSION
10.1086/671344,WOS000331701600005,2013,JCR,CHATTERJEE P;IRMAK C;ROSE RL,THE ENDOWMENT EFFECT AS SELF-ENHANCEMENT IN RESPONSE TO THREAT
10.1086/671345,WOS000331701600011,2013,JCR,BERGER J;IYENGAR R,COMMUNICATION CHANNELS AND WORD OF MOUTH: HOW THE MEDIUM SHAPES THE MESSAGE
10.1086/671464,WOS000331701600008,2013,JCR,NGUYEN TDT;BELK RW,HARMONIZATION PROCESSES AND RELATIONAL MEANINGS IN CONSTRUCTING ASIAN WEDDINGS
10.1086/671465,WOS000331701600012,2013,JCR,CHEN Z;BERGER J,"WHEN, WHY, AND HOW CONTROVERSY CAUSES CONVERSATION"
10.1086/671474,WOS000331704400001,2013,JCR,BROWN S;MCDONAGH P;SHULTZ CJ,TITANIC: CONSUMING THE MYTHS AND MEANINGS OF AN AMBIGUOUS BRAND
10.1086/671475,WOS000331704400003,2013,JCR,TRUDEL R;ARGO JJ,THE EFFECT OF PRODUCT SIZE AND FORM DISTORTION ON CONSUMER RECYCLING BEHAVIOR
10.1086/671564,WOS000331704400002,2013,JCR,PIETERS R,BIDIRECTIONAL DYNAMICS OF MATERIALISM AND LONELINESS: NOT JUST A VICIOUS CYCLE
10.1086/671565,WOS000331704400004,2013,JCR,PALMEIRA MM;SRIVASTAVA J,FREE OFFER NOT EQUAL CHEAP PRODUCT: A SELECTIVE ACCESSIBILITY ACCOUNT ON THE VALUATION OF FREE OFFERS
10.1086/671761,WOS000331704400006,2013,JCR,BLAIR S;ROESE NJ,BALANCING THE BASKET: THE ROLE OF SHOPPING BASKET COMPOSITION IN EMBARRASSMENT
10.1086/671762,WOS000331704400008,2013,JCR,JIN L;HUANG SC;ZHANG Y,THE UNEXPECTED POSITIVE IMPACT OF FIXED STRUCTURES ON GOAL COMPLETION
10.1086/671763,WOS000331704400005,2013,JCR,DOMMER SL;SWAMINATHAN V;AHLUWALIA R,USING DIFFERENTIATED BRANDS TO DEFLECT EXCLUSION AND PROTECT INCLUSION: THE MODERATING ROLE OF SELF-ESTEEM ON ATTACHMENT TO DIFFERENTIATED BRANDS
10.1086/671794,WOS000331704400007,2013,JCR,SAATCIOGLU B;OZANNE JL,MORAL HABITUS AND STATUS NEGOTIATION IN A MARGINALIZED WORKING-CLASS NEIGHBORHOOD
10.1086/671998,WOS000331704400009,2013,JCR,KRONROD A;DANZIGER S,``WII WILL ROCK YOU!'' THE USE AND EFFECT OF FIGURATIVE LANGUAGE IN CONSUMER REVIEWS OF HEDONIC AND UTILITARIAN CONSUMPTION
10.1086/672357,WOS000331704400010,2013,JCR,CHAN E;SENGUPTA J,OBSERVING FLATTERY: A SOCIAL COMPARISON PERSPECTIVE
10.1086/672358,WOS000331704400012,2013,JCR,HUMPHREYS A;LATOUR KA,FRAMING THE GAME: ASSESSING THE IMPACT OF CULTURAL REPRESENTATIONS ON CONSUMER PERCEPTIONS OF LEGITIMACY
10.1086/673191,WOS000331704400011,2013,JCR,KIM HC,SITUATIONAL MATERIALISM: HOW ENTERING LOTTERIES MAY UNDERMINE SELF-CONTROL
10.1086/673193,WOS000331705600004,2014,JCR,JIN L;HE Y;ZHANG Y,HOW POWER STATES INFLUENCE CONSUMERS' PERCEPTIONS OF PRICE UNFAIRNESS
10.1086/673196,WOS000331705600006,2014,JCR,MARTIN DM;SCHOUTEN JW,CONSUMPTION-DRIVEN MARKET EMERGENCE
10.1086/673256,WOS000331705600005,2014,JCR,WANG Y;GRISKEVICIUS V,"CONSPICUOUS CONSUMPTION, RELATIONSHIPS, AND RIVALS: WOMEN'S LUXURY PRODUCTS AS SIGNALS TO OTHER WOMEN"
10.1086/673261,WOS000331705600008,2014,JCR,SHEN H;SENGUPTA J,THE CROSSMODAL EFFECT OF ATTENTION ON PREFERENCES: FACILITATION VERSUS IMPAIRMENT
10.1086/673262,WOS000331705600007,2014,JCR,MCFERRAN B;ARGO JJ,THE ENTOURAGE EFFECT
10.1086/673383,WOS000331705600003,2014,JCR,VAN LAER T;DE RUYTER K;VISCONTI LM;WETZELS M,THE EXTENDED TRANSPORTATION-IMAGERY MODEL: A META-ANALYSIS OF THE ANTECEDENTS AND CONSEQUENCES OF CONSUMERS' NARRATIVE TRANSPORTATION
10.1086/673384,WOS000331705600010,2014,JCR,MAY F;MONGA A,"WHEN TIME HAS A WILL OF ITS OWN, THE POWERLESS DON'T HAVE THE WILL TO WAIT: ANTHROPOMORPHISM OF TIME CAN DECREASE PATIENCE"
10.1086/673441,WOS000331705600011,2014,JCR,LEE L;TSAI CI,HOW PRICE PROMOTIONS INFLUENCE POSTPURCHASE CONSUMPTION EXPERIENCE OVER TIME
10.1086/673469,WOS000331705600009,2014,JCR,DEBENEDETTI A;OPPEWAL H;ARSEL Z,PLACE ATTACHMENT IN COMMERCIAL SETTINGS: A GIFT ECONOMY PERSPECTIVE
10.1086/673521,WOS000331705600014,2014,JCR,TOWNSEND C;KAHN BE,"THE ``VISUAL PREFERENCE HEURISTIC'': THE INFLUENCE OF VISUAL VERSUS VERBAL DEPICTION ON ASSORTMENT PROCESSING, PERCEIVED VARIETY, AND CHOICE OVERLOAD"
10.1086/673522,WOS000331705600013,2014,JCR,YANG LW;CUTRIGHT KM;CHARTRAND GJ,DISTINCTIVELY DIFFERENT: EXPOSURE TO MULTIPLE BRANDS IN LOW-ELABORATION SETTINGS
10.1086/673846,WOS000331705600012,2014,JCR,BUECHEL EC;JANISZEWSKI C,A LOT OF WORK OR A WORK OF ART: HOW THE STRUCTURE OF A CUSTOMIZED ASSEMBLY TASK DETERMINES THE UTILITY DERIVED FROM ASSEMBLY EFFORT
10.1086/673959,WOS000332474500003,2014,JCR,RUSSELL CA;SCHAU HJ,WHEN NARRATIVE BRANDS END: THE IMPACT OF NARRATIVE CLOSURE AND CONSUMPTION SOCIALITY ON LOSS ACCOMMODATION
10.1086/673960,WOS000332474500004,2014,JCR,DAVIS DF;HERR PM,FROM BYE TO BUY: HOMOPHONES AS A PHONOLOGICAL ROUTE TO PRIMING
10.1086/674059,WOS000332474500005,2014,JCR,KAN C;LICHTENSTEIN DR;GRANT C,STRENGTHENING THE INFLUENCE OF ADVERTISED REFERENCE PRICES THROUGH INFORMATION PRIMING
10.1086/674137,WOS000332474500010,2014,JCR,KRISTOFFERSON K;WHITE K;PELOZA J,THE NATURE OF SLACKTIVISM: HOW THE SOCIAL OBSERVABILITY OF AN INITIAL ACT OF TOKEN SUPPORT AFFECTS SUBSEQUENT PROSOCIAL ACTION
10.1086/674196,WOS000332474500009,2014,JCR,KIM HC;KULOW K;KRAMER T,THE INTERACTIVE EFFECT OF BELIEFS IN MALLEABLE FATE AND FATEFUL PREDICTIONS ON CHOICE
10.1086/674197,WOS000332474500007,2014,JCR,WAN EW;XU J;DING Y,TO BE OR NOT TO BE UNIQUE? THE EFFECT OF SOCIAL EXCLUSION ON CONSUMER CHOICE
10.1086/674198,WOS000332474500002,2014,JCR,DALTON AN;HUANG L,MOTIVATED FORGETTING IN RESPONSE TO SOCIAL IDENTITY THREAT
10.1086/674199,WOS000332474500011,2014,JCR,STEFFEL M;LE BOEUF RA,OVERINDIVIDUATION IN GIFT GIVING: SHOPPING FOR MULTIPLE RECIPIENTS LEADS GIVERS TO CHOOSE UNIQUE BUT LESS PREFERRED GIFTS
10.1086/674211,WOS000332474500006,2014,JCR,ZHANG Y;FEICK L;MITTAL V,HOW MALES AND FEMALES DIFFER IN THEIR LIKELIHOOD OF TRANSMITTING NEGATIVE WORD OF MOUTH
10.1086/674212,WOS000332474500008,2014,JCR,WILLIAMS LE;STEIN R;GALGUERA L,THE DISTINCT AFFECTIVE CONSEQUENCES OF PSYCHOLOGICAL DISTANCE AND CONSTRUAL LEVEL
10.1086/674546,WOS000332474500012,2014,JCR,ISAAC MS;SCHINDLER RM,THE TOP-TEN EFFECT: CONSUMERS' SUBJECTIVE CATEGORIZATION OF RANKED LISTS
10.1086/674547,WOS000332474500013,2014,JCR,CHAE BG;ZHU RJ,ENVIRONMENTAL DISORDER LEADS TO SELF-REGULATORY FAILURE
10.1086/674664,WOS000336798600003,2014,JCR,KRISHNA A;MORRIN M;SAYIN E,SMELLIZING COOKIES AND SALIVATING: A FOCUS ON OLFACTORY IMAGERY
10.1086/674724,WOS000336798600002,2014,JCR,BHATTACHARJEE A;MOGILNER C,HAPPINESS FROM ORDINARY AND EXTRAORDINARY EXPERIENCES
10.1086/674870,WOS000336798600004,2014,JCR,BELLEZZA S;GINO F;KEINAN A,THE RED SNEAKERS EFFECT: INFERRING STATUS AND COMPETENCE FROM SIGNALS OF NONCONFORMITY
10.1086/674975,WOS000336798600005,2014,JCR,LISJAK M;LEE AY,THE BRIGHT SIDE OF IMPULSE: DEPLETION HEIGHTENS SELF-PROTECTIVE BEHAVIOR IN THE FACE OF DANGER
10.1086/674976,WOS000336798600007,2014,JCR,DUCLOS R;BARASCH A,PROSOCIAL BEHAVIOR IN INTERGROUP RELATIONS: HOW DONOR SELF-CONSTRUAL AND RECIPIENT GROUP-MEMBERSHIP SHAPE GENEROSITY
10.1086/674977,WOS000336798600006,2014,JCR,MA J;ROESE NJ,THE MAXIMIZING MIND-SET
10.1086/675218,WOS000336798600009,2014,JCR,CONNELL PM;BRUCKS M;NIELSEN JH,HOW CHILDHOOD ADVERTISING EXPOSURE CAN CREATE BIASED PRODUCT EVALUATIONS THAT PERSIST INTO ADULTHOOD
10.1086/675219,WOS000336798600008,2014,JCR,LEE KK;ZHAO M,THE EFFECT OF PRICE ON PREFERENCE CONSISTENCY OVER TIME
10.1086/675299,WOS000336798600010,2014,JCR,SALERNO A;LARAN J;JANISZEWSKI C,HEDONIC EATING GOALS AND EMOTION: WHEN SADNESS DECREASES THE DESIRE TO INDULGE
10.1086/675377,WOS000336798600011,2014,JCR,DUNN L;HOEGG JA,THE IMPACT OF FEAR ON EMOTIONAL BRAND ATTACHMENT
10.1086/675723,WOS000336798600013,2014,JCR,JIANG Y;ZHAN L;RUCKER DD,POWER AND ACTION ORIENTATION: POWER AS A CATALYST FOR CONSUMER SWITCHING BEHAVIOR
10.1086/675737,WOS000336798600012,2014,JCR,BASKIN E;WAKSLAK CJ;TROPE Y;NOVEMSKY N,WHY FEASIBILITY MATTERS MORE TO GIFT RECEIVERS THAN TO GIVERS: A CONSTRUAL-LEVEL APPROACH TO GIFT GIVING
10.1086/675738,WOS000336798600015,2014,JCR,PARKER JR;LEHMANN DR,HOW AND WHEN GROUPING LOW-CALORIE OPTIONS REDUCES THE BENEFITS OF PROVIDING DISH-SPECIFIC CALORIE INFORMATION
10.1086/675739,WOS000339171400002,2014,JCR,BISWAS D;SZOCS C;KRISHNA A;LEHMANN DR,"SOMETHING TO CHEW ON: THE EFFECTS OF ORAL HAPTICS ON MASTICATION, OROSENSORY PERCEPTION, AND CALORIE ESTIMATION"
10.1086/675926,WOS000336798600014,2014,JCR,HAMILTON R;VOHS KD;MCGILL AL,"WE'LL BE HONEST, THIS WON'T BE THE BEST ARTICLE YOU'LL EVER READ: THE USE OF DISPREFERRED MARKERS IN WORD-OF-MOUTH COMMUNICATION"
10.1086/675927,WOS000339171400003,2014,JCR,WINTERICH KP;ZHANG Y,ACCEPTING INEQUALITY DETERS RESPONSIBILITY: HOW POWER DISTANCE DECREASES CHARITABLE BEHAVIOR
10.1086/676125,WOS000339171400004,2014,JCR,BHATTACHARJEE A;BERGER J;MENON G,WHEN IDENTITY MARKETING BACKFIRES: CONSUMER AGENCY IN IDENTITY EXPRESSION
10.1086/676126,WOS000339171400005,2014,JCR,ISAAC MS;BROUGH AR,JUDGING A PART BY THE SIZE OF ITS WHOLE: THE CATEGORY SIZE BIAS IN PROBABILITY JUDGMENTS
10.1086/676311,WOS000339171400001,2014,JCR,TIAN K;SAUTTER P;FISHER D;FISCHBACH S;LUNA-NEVAREZ C;BOBERG K;KROGER J;VANN R,TRANSFORMING HEALTH CARE: EMPOWERING THERAPEUTIC COMMUNITIES THROUGH TECHNOLOGY-ENHANCED NARRATIVES
10.1086/676581,WOS000339171400006,2014,JCR,NENKOV GY;SCOTT ML,``SO CUTE I COULD EAT IT UP'': PRIMING EFFECTS OF CUTE PRODUCTS ON INDULGENT CONSUMPTION
10.1086/676598,WOS000339171400009,2014,JCR,RUCKER DD;HU M;GALINSKY AD,THE EXPERIENCE VERSUS THE EXPECTATIONS OF POWER: A RECIPE FOR ALTERING THE EFFECTS OF POWER ON BEHAVIOR
10.1086/676599,WOS000339171400008,2014,JCR,DZHOGLEVA H;LAMBERTON CP,SHOULD BIRDS OF A FEATHER FLOCK TOGETHER? UNDERSTANDING SELF-CONTROL DECISIONS IN DYADS
10.1086/676600,WOS000339171400007,2014,JCR,JIA JS;SHIV B;RAO S,THE PRODUCT-AGNOSIA EFFECT: HOW MORE VISUAL IMPRESSIONS AFFECT PRODUCT DISTINCTIVENESS IN COMPARATIVE CHOICE
10.1086/676679,WOS000339171400010,2014,JCR,BELLEZZA S;KEINAN A,BRAND TOURISTS: HOW NON-CORE USERS ENHANCE THE BRAND IMAGE BY ELICITING PRIDE
10.1086/676680,WOS000339171400018,2014,JCR,WARREN C;CAMPBELL MC,WHAT MAKES THINGS COOL? HOW AUTONOMY INFLUENCES PERCEIVED COOLNESS
10.1086/676681,WOS000339171400017,2014,JCR,KIM S;GAL D,FROM COMPENSATORY CONSUMPTION TO ADAPTIVE CONSUMPTION: THE ROLE OF SELF-ACCEPTANCE IN RESOLVING SELF-DEFICITS
10.1086/676688,WOS000339171400015,2014,JCR,LOWE ML;HAWS KL,(IM)MORAL SUPPORT: THE SOCIAL OUTCOMES OF PARALLEL SELF-CONTROL DECISIONS
10.1086/676689,WOS000339171400013,2014,JCR,BONE SA;CHRISTENSEN GL;WILLIAMS JD,"REJECTED, SHACKLED, AND ALONE: THE IMPACT OF SYSTEMIC RESTRICTED CHOICE ON MINORITY CONSUMERS' CONSTRUCTION OF SELF"
10.1086/676750,WOS000339171400016,2014,JCR,WILLIAMS EF;STEFFEL M,DOUBLE STANDARDS IN THE USE OF ENHANCING PRODUCTS BY SELF AND OTHERS
10.1086/676922,WOS000341836900001,2014,JCR,DION D;SABRI O;GUILLARD V,HOME SWEET MESSY HOME: MANAGING SYMBOLIC POLLUTION
10.1086/676965,WOS000341836900003,2014,JCR,GARBINSKY EN;KLESSE AK;AAKER J,MONEY IN THE BANK: FEELING POWERFUL INCREASES SAVING
10.1086/676966,WOS000339171400011,2014,JCR,JIANG Y;ADAVAL R;STEINHART Y;WYER RS,IMAGINING YOURSELF IN THE SCENE: THE INTERACTIVE EFFECTS OF GOAL-DRIVEN SELF-IMAGERY AND VISUAL PERSPECTIVES ON CONSUMER BEHAVIOR
10.1086/676967,WOS000339171400012,2014,JCR,FISHER RJ;MA Y,THE PRICE OF BEING BEAUTIFUL: NEGATIVE EFFECTS OF ATTRACTIVENESS ON EMPATHY FOR CHILDREN IN NEED
10.1086/676968,WOS000339171400014,2014,JCR,MEHTA R;ZHU RJ;MEYERS-LEVY J,WHEN DOES A HIGHER CONSTRUAL LEVEL INCREASE OR DECREASE INDULGENCE? RESOLVING THE MYOPIA VERSUS HYPEROPIA PUZZLE
10.1086/676980,WOS000341836900002,2014,JCR,WARD MK;DAHL DW,SHOULD THE DEVIL SELL PRADA? RETAIL REJECTION INCREASES ASPIRING CONSUMERS' DESIRE FOR THE BRAND
10.1086/676981,WOS000341836900004,2014,JCR,MAY F;IRMAK C,LICENSING INDULGENCE IN THE PRESENT BY DISTORTING MEMORIES OF PAST BEHAVIOR
10.1086/677223,WOS000341836900006,2014,JCR,SOSTER RL;GERSHOFF AD;BEARDEN WO,THE BOTTOM DOLLAR EFFECT: THE INFLUENCE OF SPENDING TO ZERO ON PAIN OF PAYMENT AND SATISFACTION
10.1086/677224,WOS000341836900005,2014,JCR,MAIMARAN M;FISHBACH A,"IF IT'S USEFUL AND YOU KNOW IT, DO YOU EAT? PRESCHOOLERS REFRAIN FROM INSTRUMENTAL FOOD"
10.1086/677225,WOS000341836900008,2014,JCR,HUANG XI;DONG P;MUKHOPADHYAY A,PROUD TO BELONG OR PROUDLY DIFFERENT? LAY THEORIES DETERMINE CONTRASTING EFFECTS OF INCIDENTAL PRIDE ON UNIQUENESS SEEKING
10.1086/677226,WOS000341836900007,2014,JCR,LEE S;WINTERICH KP;ROSS WT,"I'M MORAL, BUT I WON'T HELP YOU: THE DISTINCT ROLES OF EMPATHY AND JUSTICE IN DONATIONS"
10.1086/677227,WOS000341836900009,2014,JCR,LASALETA JD;SEDIKIDES C;VOHS KD,NOSTALGIA WEAKENS THE DESIRE FOR MONEY
10.1086/677313,WOS000341836900012,2014,JCR,DANZIGER S;HADAR L;MORWITZ VG,RETAILER PRICING STRATEGY AND CONSUMER CHOICE UNDER PRICE UNCERTAINTY
10.1086/677314,WOS000341836900010,2014,JCR,CUTRIGHT KM;SAMPER A,DOING IT THE HARD WAY: HOW LOW CONTROL DRIVES PREFERENCES FOR HIGH-EFFORT PRODUCTS AND SERVICES
10.1086/677315,WOS000341836900011,2014,JCR,HUH YE;VOSGERAU J;MOREWEDGE CK,SOCIAL DEFAULTS: OBSERVED CHOICES BECOME CHOICE DEFAULTS
10.1086/677562,WOS000341836900013,2014,JCR,ILYUK V;BLOCK L;FARO D,IS IT STILL WORKING? TASK DIFFICULTY PROMOTES A RAPID WEAR-OFF BIAS IN JUDGMENTS OF PHARMACOLOGICAL PRODUCTS
10.1086/677563,WOS000341836900014,2014,JCR,EBERT JEJ;MEYVIS T,READING FICTIONAL STORIES AND WINNING DELAYED PRIZES: THE SURPRISING EMOTIONAL IMPACT OF DISTANT EVENTS
10.1086/677840,WOS000341836900015,2014,JCR,TU Y;SOMAN D,THE CATEGORIZATION OF TIME AND ITS IMPACT ON TASK INITIATION
10.1086/677841,WOS000341836900016,2014,JCR,NEWMAN GE;GORLIN M;DHAR R,WHEN GOING GREEN BACKFIRES: HOW FIRM INTENTIONS SHAPE THE EVALUATION OF SOCIALLY BENEFICIAL PRODUCT ENHANCEMENTS
10.1086/677842,WOS000341836900017,2014,JCR,GIESLER M;VERESIU E,CREATING THE RESPONSIBLE CONSUMER: MORALISTIC GOVERNANCE REGIMES AND CONSUMER SUBJECTIVITY
10.1086/677892,WOS000345227600002,2014,JCR,EPP AM;VELAGALETI SR,OUTSOURCING PARENTHOOD? HOW FAMILIES MANAGE CARE ASSEMBLAGES USING PAID COMMERCIAL SERVICES
10.1086/677893,WOS000345227600005,2014,JCR,SHAH AK;ALTER AL,CONSUMING EXPERIENTIAL CATEGORIES
10.1086/677894,WOS000341836900018,2014,JCR,MCALEXANDER JH;DUFAULT BL;MARTIN DM;SCHOUTEN JW,"THE MARKETIZATION OF RELIGION: FIELD, CAPITAL, AND CONSUMER IDENTITY"
10.1086/677905,WOS000345227600001,2014,JCR,HUMPHREYS A;THOMPSON CJ,BRANDING DISASTER: REESTABLISHING TRUST THROUGH THE IDEOLOGICAL CONTAINMENT OF SYSTEMIC RISK ANXIETIES
10.1086/678034,WOS000345227600007,2014,JCR,GOPALDAS A,MARKETPLACE SENTIMENTS
10.1086/678035,WOS000345227600006,2014,JCR,DE LANGHE B;VAN OSSELAER SMJ;PUNTONI AL,FOOLED BY HETEROSCEDASTIC RANDOMNESS: LOCAL CONSISTENCY BREEDS EXTREMITY IN PRICE-BASED QUALITY INFERENCES
10.1086/678051,WOS000345227600012,2014,JCR,LI X;ZHANG M,THE EFFECTS OF HEIGHTENED PHYSIOLOGICAL NEEDS ON PERCEPTION OF PSYCHOLOGICAL CONNECTEDNESS
10.1086/678052,WOS000345227600011,2014,JCR,RECZEK RW;HAWS KL;SUMMERS CA,LUCKY LOYALTY: THE EFFECT OF CONSUMER EFFORT ON PREDICTIONS OF RANDOMLY DETERMINED MARKETING OUTCOMES
10.1086/678193,WOS000345227600004,2014,JCR,MITTELMAN M;ANDRADE EB;CHATTOPADHYAY A;BRENDL CM,THE OFFER FRAMING EFFECT: CHOOSING SINGLE VERSUS BUNDLED OFFERINGS AFFECTS VARIETY SEEKING
10.1086/678194,WOS000345227600009,2014,JCR,CHEN CY;MATHUR P;MAHESWARAN D,THE EFFECTS OF COUNTRY-RELATED AFFECT ON PRODUCT EVALUATIONS
10.1086/678300,WOS000345227600010,2014,JCR,HAN D;DUHACHEK A;AGRAWAL N,EMOTIONS SHAPE DECISIONS THROUGH CONSTRUAL LEVEL: THE CASE OF GUILT AND SHAME
10.1086/678301,WOS000345227600014,2014,JCR,NOSEWORTHY TJ;DI MURO F;MURRAY KB,THE ROLE OF AROUSAL IN CONGRUITY-BASED PRODUCT EVALUATION
10.1086/678302,WOS000345227600003,2014,JCR,DAI X;FISHBACH A,HOW NONCONSUMPTION SHAPES DESIRE
10.1086/678321,WOS000345227600013,2014,JCR,CHEN F;SENGUPTA J,FORCED TO BE BAD: THE POSITIVE IMPACT OF LOW-AUTONOMY VICE CONSUMPTION ON CONSUMER VITALITY
10.1086/678392,WOS000345227600008,2014,JCR,LEE H;DENG X;UNNAVA HR;FUJITA K,MONOCHROME FORESTS AND COLORFUL TREES: THE EFFECT OF BLACK-AND-WHITE VERSUS COLOR IMAGERY ON CONSTRUAL LEVEL
10.1086/678393,WOS000345227600015,2014,JCR,KRUEGER T;MATA A;IHMELS M,THE PRESENTER'S PARADOX REVISITED: AN EVALUATION MODE ACCOUNT
10.1086/678484,WOS000348356100002,2015,JCR,WADHWA M;ZHANG K,THIS NUMBER JUST FEELS RIGHT: THE IMPACT OF ROUNDEDNESS OF PRICE NUMBERS ON PRODUCT EVALUATIONS
10.1086/678485,WOS000345227600016,2014,JCR,ZHAO M;DAHL DW;HOEFFLER S,OPTIMAL VISUALIZATION AIDS AND TEMPORAL FRAMING FOR NEW PRODUCTS
10.1086/678902,WOS000348356100003,2015,JCR,LISJAK M;BONEZZI A;KIM S;RUCKER DD,PERILS OF COMPENSATORY CONSUMPTION: WITHIN-DOMAIN COMPENSATION UNDERMINES SUBSEQUENT SELF-REGULATION
10.1086/678904,WOS000348356100001,2015,JCR,MCGRAW AP;WARREN C;KAN C,HUMOROUS COMPLAINING
10.1086/678907,WOS000348356100005,2015,JCR,PARMENTIER MA;FISCHER E,THINGS FALL APART: THE DYNAMICS OF BRAND AUDIENCE DISSIPATION
10.1086/678958,WOS000348356100006,2015,JCR,HUANG S;BRONIARCZYK SM;ZHANG M,FROM CLOSE TO DISTANT: THE DYNAMICS OF INTERPERSONAL RELATIONSHIPS IN SHARED GOAL PURSUIT
10.1086/679118,WOS000348356100004,2015,JCR,FERNBACH PM;KAN C;LYNCH JG,SQUEEZED: COPING WITH CONSTRAINT THROUGH EFFICIENCY AND PRIORITIZATION
10.1086/679119,WOS000348356100008,2015,JCR,CUNHA M;FOREHAND MR;ANGLE JW,RIDING COATTAILS: WHEN CO-BRANDING HELPS VERSUS HURTS LESS-KNOWN BRANDS
10.1086/679307,WOS000348356100010,2015,JCR,CAMPBELL MC;WARREN C,THE PROGRESS BIAS IN GOAL PURSUIT: WHEN ONE STEP FORWARD SEEMS LARGER THAN ONE STEP BACK
10.1086/679308,WOS000348356100007,2015,JCR,JHANG JH;LYNCH JG,"PARDON THE INTERRUPTION: GOAL PROXIMITY, PERCEIVED SPARE TIME, AND IMPATIENCE"
10.1086/679309,WOS000350807600002,2015,JCR,VAN KERCKHOVE A;GEUENS M;VERMEIR I,THE FLOOR IS NEARER THAN THE SKY: HOW LOOKING UP OR DOWN AFFECTS CONSTRUAL LEVEL
